example_id,customer_tweet_id,customer_message,text,intent
34,49983,@AmazonHelp Nice #escape after 1 month u people saying d attached letter is not valid. Spoke with brand Mi call center also.,@127186 We've sent the correspondence to your registered email ID. Kindly check it here: https://t.co/8DAc10S7ww ^GK,Order Tracking / Status
35,360243,@AmazonHelp Done,@201315 Thanks for the update. We'll check and get back to you at the earliest. ^HA,Order Tracking / Status
36,701326,@AmazonHelp They were supposed to be delivered by today bt there r still no updates,"@287420 I understand your concern. However, did you happen to report this to our support team? ^MN",Order Tracking / Status
37,2308348,@AmazonHelp Please check it again,@669577 I have checked our records and I see that we have received your details now. Our team is working on it and we'll get back to you at the earliest. ^RI,Order Tracking / Status
38,1430369,"@AmazonHelp This is the third time I am actually reaching out to Amazon care, and trust me I have reasons to be wary. Please don't let me down this time",@452178 We'd be sure to investigate the issue completely and ensure these instances do not recur. Appreciate your understanding. ^ZH,Order Tracking / Status
39,1373191,@AmazonHelp Yes multiple times! No one can seem to locate them :/,@439603 Oh no! Who was the carrier of the packages? https://t.co/Y5jpI9gRhE ^RM,Order Tracking / Status
40,529051,@AmazonHelp this assurity is given by your customer service team from 5 days......and I have no info. about my money.....I hope for a speedy resolution #cheaters #AmazonIndia #JEFFBEZOS,@242503 I get your disappointment. We'll work on it and get back to you at the earliest with regards to your concern. ^JS,Order Tracking / Status
41,1305183,@AmazonHelp Why/How can Prime “guarantee” delivery and be late 2 days? This is happening more frequently.,@424985 Oh no! Will you clarify the delivery date given at check out? You can find that here: https://t.co/Y5jpI9gRhE?  ^BA,Return / Refund
42,1034257,"@AmazonHelp I had accidentally ordered a wrong item, only getting to know after delivery and payment. No option for refunds!? WHY?",@364675 Please report this to our team here: https://t.co/vlvfJr4nN9 and we'll get this sorted soon. ^RS,Delivery Date / Shipping
43,1516085,"@AmazonHelp I got it through the Amazon now app and I'm unable to help you out with a link for the same. Sorry bot, human intervention needed!",@471751 I've noted this down and will surely forward this as a feedback internally and make sure this is worked upon in the future.^SS,Late / Missing Delivery
44,650079,"@AmazonHelp Hi, my parcel should have arrived on 22nd Nov, and now i check on my tracking number, it was delayed till 12th Dec ; __ ;",@274548 I am very sorry to hear this. Delays are rare but do occur on occasions. Please do keep us updated on the arrival.^CR,Late / Missing Delivery
45,397397,@AmazonHelp @115850 @115851 #Day54 #Complaint Unresolved #Amazon #fraud By delivery man. Bad #CustomerExperience,@210098 The resolution provided to you via email is the best. Appreciate your understanding. ^AP,Order Tracking / Status
46,1600140,"@115850 when will this Order be delivered ? Order date 25-Oct-2017
Order #407-3727329-4237126 @AmazonHelp @115821","@491340 Also, please don’t provide your order/account details as we consider them to be personal information. 2/3 ^SB",Damaged / Defective Product
47,2367918,@AmazonHelp Wtf https://t.co/JhWNx9WWMv,@683414 Er... Sorry about that. What does the tracking for the order say here: https://t.co/Y5jpI9gRhE? ^TR,Product / Device Support
48,1759077,"@AmazonHelp Thanks for checking in :)
It's order 111-8373083-5386646 specifically; seems to be no way to release it neither from Amazon nor from FedEx","@529494 We'd like to look into this with you. When you can, please reach us via phone or chat here: https://t.co/CYqkdUakWJ ^SJ",Damaged / Defective Product
49,140009,@AmazonHelp Thanks again. I'm just a bit confused as the item is in stock so not sure why it wouldn't be available for shipment. I haven't received an update as of yet. Hopefully will hear something soon. Thanks,"@147586 You're welcome, if you need anything else then please don't hesitate to let us know. ^KI",Late / Missing Delivery
50,2273312,"@AmazonHelp If it can't be resolved, i will have to unsubscribe from prime.. Unnecessarily paying for this..","@661277 I understand your disappointment. However, as the content is geo-restricted, you'll not be able to access the prime video content in Singapore. ^AP",Delivery Date / Shipping
51,2870735,@AmazonHelp It’s amazon’s in house delivery service (AMZN_US),"@797127 We'd like to bring this to the attention of our Logistics team for further review. When you have a moment, please relay order specifics to us via the following secure link, and we'll be in touch: https://t.co/W7BgDBeee5 ^MV",Late / Missing Delivery
52,1386467,"@AmazonHelp hey um, i didnt order this https://t.co/IkpU1RHsyp","@442621 I apologize! To clarify, did you receive the wrong item, or did you randomly receive something you didn't order? ^NC",Late / Missing Delivery
53,149146,@AmazonHelp Quatro livros da Elena Ferrante e o segundo volume dos 'Romances de Patrick Melrose',"@149982 Gabriella, você sabe qual desses livros vai ler primeiro?. Ficamos curiosos. 🤔📚^NB",Return / Refund
54,2098724,@AmazonHelp Cool but my question is why would it be delayed though? It was in transit today &amp; then a delay all of a sudden....,@373139 Have you tried checking the tracking on the carrier's website? They may have additional info. ^JA,Account / Contact Support
55,219569,"@AmazonHelp @115851 if you are talking about this mail(check pick), then please read the reply as well. apart from this I didn't receive any comm. https://t.co/Vohoj2FqQH",@168355 Sorry for the confusion. Could you confirm if you've replied to the email you've recieved from our team? ^MM,Product / Device Support
56,911582,@AmazonHelp Dont Paste Given Link bcoz its Link not working.. It is your responsibility to delivery products on time.,@293797 Kindly wait until the estimated delivery date. I'm positive the product will be delivered on time. Do keep us posted. ^AK,Damaged / Defective Product
57,152002,"@AmazonHelp Yes I have, did it yesterday. Please look into it and ensure the order is delivered by Monday.",@150734 Kindly wait until the estimated delivery date mentioned here: https://t.co/pYHdlcj0Ot and I'm positive your order will be delivered. ^SH,Return / Refund
58,2269180,@AmazonHelp I have not received,"@647618 That's strange, Varun. If you've responded to the email correspondence, you will receive an update shortly. Request you to wait. If you still don't receive any correspondence, please get back to us so that we will assist you.  ^NK",Delivery Date / Shipping
59,916548,@AmazonHelp  please appreciate if it could be re posted for consumer awareness and buyer protection,@336911 it would not be posted. (2/2) ^KA,Account / Contact Support
60,2876356,@AmazonHelp Into why packages can’t be delivered on time? I would hope so. It’s kinda the whole point of Amazon.,"@627410 Hi Mike, please submit your details in this secure form so that we can look into it further: https://t.co/R55eEQwSEs -Agi T",Product / Device Support
61,2288233,@AmazonHelp ????????? https://t.co/RqgNzxiqk0,@664790 I'm sorry for the account issues! Please reach out here: https://t.co/FGTMFSd8Rn so we can take a look into this for you. ^AH,Account / Contact Support
62,2366251,@AmazonHelp So why you have charged 1st hand products I want to say to all customers don't purchase any item from Amazon,@683076 Certainly not the kind of experience we'd want you to have. I'd like to take a closer look at this. Please share your details here: https://t.co/beaaDm0muc and I’ll contact you soon. ^SM,Product / Device Support
63,318816,@AmazonHelp @115850 over 20 times. I have been talking to them more than my bae. But no result. #utterincompetence,"@192058 Sorry about the stretch, please drop in your details here: https://t.co/GIJyeYqKE0 and we'll reach out to you. ^MS",Account / Contact Support
64,1432321,@AmazonHelp Filled the form already but I needed phone urgently as I going out of station tmrw 2pm but considering ur service I have no expectation now.,"@452590 As you've shared your details, we'll work on it and get back to you at the earliest. ^HN",Account / Contact Support
65,530845,@AmazonHelp Merci bien ! 😘,@242948 Je vous en prie :) Passez un bon week-end😊,Late / Missing Delivery
66,2184723,@AmazonHelp Tout est ok mais c est pas la 1ere fois que sa arrive,"@639881 Avez-vous également signalé ces incidents à notre SAV ? 
^KE",Order Tracking / Status
67,446137,@AmazonHelp I already checked tracking. It hasn't been updated since early yesterday. I just want to make sure it will arrive by tomorrow.,"@164002 I understand, but unfortunately we do not have access to your account or details via Twitter. We'd still like to help! Just to clarify, can you tell us what the current order status is showing here: https://t.co/Y5jpI9gRhE ^SC",Return / Refund
68,169491,@AmazonHelp Amazon me piden los ultimos 4 numeros de mi tarjeta en estado de cuenta pueden darme un ejemplo??,@155474 Se refiere a que escribas en el documento del estado de cuenta los últimos 4 dígitos del número que aparece en la parte frontal de tu tarjeta ^AR,Delivery Date / Shipping
69,232843,"@AmazonHelp 
When will you guys add moto g5s plus for an mobile exchange . Please add it too soon .","@171427 hence is dynamic. However, I'll share your comments as feedback internally. 2/2^EM",Late / Missing Delivery
70,379359,@AmazonHelp 今朝注文したもののクレジット払いの決済がまだされないのですが待ってればされますか？,@204354 クレジットカードでご注文いただいた場合、商品の発送時にご請求いたします。自動的に行われますので、発送までお待ちください。 EK,Return / Refund
71,2383443,"@AmazonHelp I have tried on multiple computers, ip addresses and browsers. Chrome, edge, firefox. No adblock, no antivirus.",@687045 We would like to have a look at this issue. Please provide your details: https://t.co/MBAcWSvzBH Kind regards ^TR,Return / Refund
72,900903,"@AmazonHelp I apologize for language, but I've never had a bad experience with Amazon before, so I was taken back by his responses and attitude.","@333862 (1/2) I understand how hurt and frustrating this must feel. At the end of the chat, you should have been able to leave feedback.",Delivery Date / Shipping
73,1327051,"@AmazonHelp No I haven't, details of the packages were sent in a direct message, I really don't have time for all this, why can't you just arrange collection via dm",@155862 We're unable to view account or order details via Twitter to arrange a collection. Please contact us via the link ^CN had provided. ^AD,Order Tracking / Status
74,1326957,@AmazonHelp Só se aplicam em quadrinhos em promoção relâmpago? Desde já agradeço pela compreensão,@144472 Por gentileza entre em contato com o nosso Serviço de Atendimento no seguinte link Scott: https://t.co/ouAOLcNWp4 ^JJ,Product / Device Support
75,2598526,"@AmazonHelp  i have got this message "" Congratz! Rs.5000 has been credited to your Amazon Pay Balance wallet. Valid till Midnight 11: 59 PM. https://t.co/IEiX0pvA4e""
Is it hoax ??","@327655 The e-mail/ survey/communication you received wasn't from Amazon.in. We recommend that you delete the e-mail/ do not respond. For your protection, do not respond to it, and do not open any attachments or click any links it contains. ^SH",Return / Refund
76,689504,"@AmazonHelp So I can order something from. Here in the UK, and ask for it to be sent to my cousin in India.
What are the restrictions please.",@255941 You can read more on potential delivery restrictions via our help page: https://t.co/0ZCM8LsDAJ ^KI,Return / Refund
77,1610960,@AmazonHelp Vendido y gestionado por Amazon.,"@494483 Entiendo, por favor contactanos a través de este enlace para brindarte más información: https://t.co/OjvUxwnzPe . ^MB",Delivery Date / Shipping
78,661422,"@AmazonHelp The original order was supposed to be delivered by 11/18. The replacement order by today or tomorrow the latest. When I got off the phone, I was told hopefully by Friday. Friday is after thanksgiving. It doesn’t help me by Friday!",@277598 I'm so sorry for the trouble! Please contact us here for additional options: https://t.co/hApLpMlfHN ^MO,Product / Device Support
79,1641368,@AmazonHelp Yes it is. In fact a new update just came out and I updated before trying to resume.,@501789 We'd like a chance to look into this in real-time! Please reach out to us via chat or phone here: https://t.co/hApLpMlfHN ^WT,Late / Missing Delivery
80,2543883,"@AmazonHelp Apparently, a bin is an acceptable location for delivery","@129257 For future deliveries, you can set unattended delivery preferences with us: https://t.co/tagfgnIjMt. Please let us know if you still need us. We're here for you! ^KJ",Order Tracking / Status
81,727805,"@AmazonHelp Pushed out the delivery date from by the 5th to by the 20th, on the 27th I requested my refund in good faith. I am waiting.",@294361 Were you emailed to advise the refund was requested?^CD,Late / Missing Delivery
82,9819,@AmazonHelp if thats the case because if I pay for overnight shipping/delivery i expect to get what I paid for.,"@117801 (2/2) If we’ve missed the date in our order confirmation e-mail, please let us know here: https://t.co/hApLpMlfHN! ^WT",Delivery Date / Shipping
83,1680365,@AmazonHelp Ordered 9 products but,@393065 and we'll assist you accordingly. ^SU(3/3),Return / Refund
84,1026972,@AmazonHelp Carrier is AMZL,@363009 We'd like to look into this. Send us more details about this order here: https://t.co/9Kx9wleaeW ^CL,Damaged / Defective Product
85,1025984,@AmazonHelp By amazon..,@362766 Contact our customer service here: https://t.co/tzC7rdtO2F; my colleagues will be pleased to assist you. ^ST,Product / Device Support
86,24537,@AmazonHelp Yes,@121290 Kindly contact our team here: https://t.co/vlvfJr4nN9 and we'll have this checked. ^GK,Account / Contact Support
87,537568,@AmazonHelp Send I hope I will get any reply... as I m being fooled from 29th November,@133051 Thanks a bunch for dropping your details. We shall reach at the earliest to make things right for you. ^CB,Order Tracking / Status
88,2310822,@AmazonHelp my order was supposed to be here with Amazon Prime by 9 p.m. on Nov 11th. Tracking had it on track and claimed it would be delivered on time. At what point do I get concerned that I still do not have my package?,@670189 I'm sorry your package hasn't shown! Who was the carrier for this order? That information can be found here: https://t.co/Y5jpI9gRhE ^QJ,Late / Missing Delivery
89,1477276,"@AmazonHelp There's an anomalous order on my order history - spoke to someone on chat about it last week, still not fixed :(",@182725 What information or options were provided when you spoke to us? We'd like to help get this resolved. ^ZW,Return / Refund
90,248699,"@AmazonHelp Stop this bullshit !!! I have got a thread full of these messages by you, and despite contacting you guys I didn't get any response",@175082 Sorry for the hassle. Please share your details here: https://t.co/GIJyeY99fq and I'll get back to you. ^HN,Delivery Date / Shipping
91,232134,"@AmazonHelp My id is __email__

From this id i booked a product but i not got still refund .plzz check",@171265 your order/account details as we consider them to be personal information. Our Twitter page is visible to public. ^PB (2/2),Delivery Date / Shipping
92,294839,"@AmazonHelp ORDER # 402-5432279-0949158 is not delivered to me. I asked for A-z claim, CS denied with full arrogant reply. Pls follow Amazon IN facebook",@186218 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2) ^CB,Delivery Date / Shipping
93,1620647,"@AmazonHelp Sold and fulfilled by Amazon, which is quite surprising! Currently on chat trying to get it sorted...","@496690 Thank you for confirming, Ben! Please keep us posted on how the chat goes. We're here for you! ^FD",Return / Refund
94,2542887,@AmazonHelp  https://t.co/c2P1TIlv66,@722948 Apologies for the delivery of the defective product. I’d like to help you. Please share your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^JS,Delivery Date / Shipping
95,360692,@AmazonHelp Is not for helping but its just for making u fool and wasting ur time. @115850 @115821 So its time to stop using Amazon 😏,@190898 That's quite a remark. Could you please tell us what went wrong so we can help you?,Delivery Date / Shipping
96,237246,@AmazonHelp really frustrated and disappointed guys.. Why u guys aren't uploading this is us season 2 inspite of having the rights of it,@172502 Could you please specify which show are you concerned about? ^HR,Delivery Date / Shipping
97,1131208,"@AmazonHelp Yep..this is all the info I have but the ""view options"" link doesn't bring anything up https://t.co/y49q9oX0Bu","@386592 Let's look into available options together, Sam! Please reach us by phone or chat here: https://t.co/JzP7hlA23B ^AB",Return / Refund
98,227346,@AmazonHelp thank you!,@170230 No problem - let us know if you have any further issues ^TD,Return / Refund
99,1389991,@AmazonHelp Wht is d process for consumer complaint. Ur chat executive now asking me to wait for 72 hours.while my order supposed to delivered me by 2dy,@442795 We've received your details and will get back to you with an update at the earliest. ^AU,Return / Refund
100,755097,@AmazonHelp Para nada,@299660 Comprendo. ¿Qué opciones te indicaron nuestros compañeros de Soporte al Cliente? ^DA,Damaged / Defective Product
101,843358,"@AmazonHelp Que majos sois jajaja, un placer! 🤗","@320551 El placer de tenerte como cliente es todo nuestro ❤️. Cuéntanos, ¿qué compraste? ^AZ https://t.co/OEnFyXGg0F",Damaged / Defective Product
102,1477255,"@AmazonHelp Aaaaand I just called again. And again the tier 1 rep refused to transfer me, vehemently claiming that she was taught she needs to write down my number and someone will call me back tomorrow.",@463004 I'm sorry for any inconvenience. Could you tell us more about the issue at hand? ^GM,Damaged / Defective Product
103,852782,@AmazonHelp App und iPad wurden haben einen Neustart. Problem bleibt.,@322582 Dann melde dich bitte mal bei unseren Kollegen: https://t.co/MBAcWSvzBH  ^SK,Product / Device Support
104,2449427,@AmazonHelp nope. Not my orders. Not purchased from my wishlist. Hence the creepy!,@702037 Please reach out to us using the link provided and we'll be glad to investigate this further: https://t.co/hApLpMlfHN ^FJ,Product / Device Support
105,1008499,@AmazonHelp My item was damaged during shipping because it was mailed in a bubble envelope. How will you help me?,@358641 So sorry your order was damaged! Let's see what additional options we have to get this sorted here: https://t.co/Zm7a791vFm ^JZ,Damaged / Defective Product
106,300524,@AmazonHelp What do you mean domain? That means so many things to me loool,"@187653 When asking which domain, we are referring to which site you used to purchase. Such as, .com, .co.uk., .ca ^AG",Account / Contact Support
107,317937,"@AmazonHelp I gave Amazon my invoice of my products they lost along with everything else they ask for. I spoke to people Philippines, S. Africa, C. Rica","@191865 We'd like to have a specialist look into this, please send us more details here: https://t.co/VhAZAd1agL^CO",Product / Device Support
108,2378953,@AmazonHelp I have fill details on fraud Amazon as per given link,@683076 We've received your details and we'll reach out to you soon. ^GK,Account / Contact Support
109,1492691,"@AmazonHelp Are you kidding!!!! i have shared screen shot itself this will be 3rd time i am fiłling this form ,",@329208 I've just checked and we've received your details. Please allow us some time and we'll reach out to you. ^KA,Late / Missing Delivery
110,651415,@AmazonHelp 3 deliveries. Address changed right after order. Order 1 arrives yesterday at the new address and order 2 gets pushed for same post code.,@274935 here: https://t.co/2t6DQoUmNZ we'll reach out to you soon. 2/2^AP,Late / Missing Delivery
111,2911638,"@AmazonHelp C'est un incident de votre côté aussi du coup ? Parce que ça ressemble à quelque chose de ""normal"" si j'en crois l'affichage du site.
Je n'en ai pas encore parlé au service client.","@806019 En effet, en cas d'absence le colis peut être remis à votre entourage afin que vous le receviez plus rapidement, vous trouverez cette information mentionnée ici : https://t.co/g4IQwmWkZd.
^KE",Order Tracking / Status
112,1127962,@AmazonHelp The DPD driver couldn't get into my building so I have arranged to collect it but it will not be available until tomorrow,@385929 Have you reached out to the carrier directly? ^RS,Return / Refund
113,2102657,"@AmazonHelp Otherwise replace my phone and refund my money 
Thanking you. https://t.co/WfYKEEkVu7","@281472 Please don't provide your details, as we consider it to be personal information. Our Twitter page is visible to the public. ^AM",Delivery Date / Shipping
114,975706,@AmazonHelp Oui!,@351390 Quand est-ce que l'enquête a été ouverte? ^SM,Delivery Date / Shipping
115,2049068,@AmazonHelp Hello ! I ordered a book on buddhism and you have sent me one on communalism and now your site is not accepting a return. Can you help ?,"@442784 Hey, sorry to hear. When did you purchase the book? Was the book purchased via a seller or from Amazon directly? ^TP",Return / Refund
116,67500,@AmazonHelp Yes a few times.,@131416 What was advised?^CN,Product / Device Support
117,2230315,"@AmazonHelp Yes I got an email about it, it said to ring a number in order to gain access to the account again and then redo all addresses and payment details etc, but the number the email gave states that amazon don’t use this number or anymore or something similar when I ring. Thankyou","@650856 Thanks for clarifying, Scott! Please share the number w/ us given in the email so we can review upon contacting us here: https://t.co/zYVX1Qi29G so we can help review your best options. ^TM",Return / Refund
118,539809,@AmazonHelp Yes I have filled all relevant details.....,"@245190 I'm sorry, seems like we haven't received your details yet. Kindly drop in your information again through the link provided earlier and we'll reach out to you at the earliest. Appreciate your understanding. ^EM",Return / Refund
119,2236498,When @AmazonHelp @115821 sends you a picture to prove they delivered your package and it’s a picture of someone else’s house. Way to go. Where is my package??,@652213 We'd like to look into this for you. Please send us your information and additional details at: https://t.co/2qEWRIIxHY ^LI,Return / Refund
120,13926,@AmazonHelp Nothing on my order on your web site.,"@118925 Late order usually arrive the next business day. If your order hasn't arrived by 8:00 PM tomorrow, please let us know. ^LR",Return / Refund
121,309936,"@AmazonHelp When it's mentioned an amount in lightning deal, on check out it mentions something else. when I go back , it shows again the discount",@189994 you add the item to your cart from the product detail page.A timer will show how long you have to claim the discount. 2/2^EM,Delivery Date / Shipping
122,1773972,@AmazonHelp All of the options were explored and still no package. It’s been 36 hours. What should I️ do now?,"@533146 We're still here for you! Please, reach us via phone/chat to explore options together: https://t.co/hApLpMlfHN ^JE",Delivery Date / Shipping
123,1116967,@AmazonHelp Reported and you people had said that we cannot do anything with that and they asked me to contact the cloudtail directly,@183303 Amazon is a marketplace for sellers and buyers. All After sales services (warranty and repairs) are handled (2/3) ^VM,Late / Missing Delivery
124,790570,@115850 @AmazonHelp hy there is lot of differencen cloth f socks.plz send m.original socks. https://t.co/fSJgbyxwKJ,@233041 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN,Order Tracking / Status
125,1698740,@AmazonHelp Thank you,@515222 You're welcome! Please let us know if we may further assist.  We're here to help where we can. ^KL,Order Tracking / Status
126,1562018,"@AmazonHelp Le dernier livre de B.Sanderson The Stormlight Archive 3. Un bon gros pavé de fantasy en VO, mais je ne pouvais pas attendre 1 an la VF !!!","@482501 Je n'en ai jamais entendu parlé 😶 Me conseillez-vous de le lire ? 
^ARC",Order Tracking / Status
127,2884201,@AmazonHelp Your site must poll usps less frequently because you still say “by” end of the week. Manually running usps tracking on their site shows “out for delivery”,"@174500 Thanks for letting us know, Ron. Keep us posted if your order does not arrive today as per the tracking.^TI",Late / Missing Delivery
128,2611666,@AmazonHelp It was in the app. Presuming it was .co.uk.,@738484 We'd like to look into this with you but we're not able to access your membership details from Twitter. Please contact us via phone or chat here: https://t.co/JzP7hlA23B ^KH,Delivery Date / Shipping
129,2928428,Let’s see how good @AmazonHelp is. Fuck calling customer service,"@810149 Oh no! Have you had a customer service issue? Without giving account details, please tell us more about your situation. We'd love to help. ^BE",Damaged / Defective Product
130,1568193,@AmazonHelp Eine Bestellbestätigung mit Lieferdatum? Ja,"@483870 Meld dich doch einfach mal direkt bei uns, im Amazon.de Social Media Team, und wir schauen uns das an: https://t.co/br7bhrlJn8 ^DW",Account / Contact Support
131,2641717,@AmazonHelp - why doesn't my prime acct allow for ups returns picked up at my home anymore? Now I have to drop at post office?,"@745480 I'm sorry for the troubles! You can view the info about return shipping here: https://t.co/qY0XsAzwpU
Hope this helps! ^LL",Product / Device Support
