text,intent
@AmazonHelp Hi this is the same place I wrote the first email to - just the standard customer service email. Is there a real person I can email who can help me get my money back please?,Account / Contact Support
@AmazonHelp Thx. How do i do that? Is there a form? email? or twitter is enough.,Account / Contact Support
"@AmazonHelp just been contacted by someone through Facebook who has received my parcel due for delivery today. He lives in another town, in a completely different postcode area. What is wrong with your delivery guys??? This is the 2nd time this person won has received my parcel",Account / Contact Support
@AmazonHelp Even the order email says today. 😭 https://t.co/mbwTHv5mof,Account / Contact Support
@AmazonHelp Have already tried this method. Not a satisfactory outcome. Need to speak to someone directly. Please send me a direct contact.,Account / Contact Support
@AmazonHelp No actually I wasn't. They didn't have an option to review but I did email them and they are taking care of it.,Account / Contact Support
"@AmazonHelp Yesterday, and again today. Email response says they tried to contact me - not true. No contact or missed calls on Mob No provided",Account / Contact Support
"@AmazonHelp I mean I guess I’ll try calling again, because the first two times no help was offered other than a “promo” to my account.",Account / Contact Support
@AmazonHelp I called your customer service thrice and also contacted the seller. You people are the worst,Account / Contact Support
"@AmazonHelp There isn’t a status, you are asking for my payment details again, this will be the 7th time in 24 hours. Have spoke with bank, payment has left my account. I have tried to cancel order numerous times but there’s a technical fault",Account / Contact Support
@AmazonHelp Hi. This link just takes me to a Contact Us page. I’m assuming you’d like me to call you?,Account / Contact Support
@AmazonHelp L'explication en réponse à votre mail __email__,Account / Contact Support
@AmazonHelp Y me llamó cuando se iba 😱. En https://t.co/p2Owcwp3YV me dice que contacte con el Servicio de Atención al Cliente. Sois vosotros?,Account / Contact Support
@AmazonHelp Still problem not resolved contacted to care also,Account / Contact Support
@AmazonHelp Hello. I had to change my password and then I could log in. My bank card has been removed from my account and the order’s been cancelled.,Account / Contact Support
"@AmazonHelp Just spoke to someone apparently you're out of stock and I won't be getting my order. I didn't even get an email, what a joke.",Account / Contact Support
"@AmazonHelp I actually never received a confirmation email, and I work night shift so it's hard for me to get in contact with customer service with my schedule. It was suppose to come today, but it says Tuesday now. I'm just upset because it's for my eczema and I have really bad flare ups",Account / Contact Support
@AmazonHelp all 2000 rs gvs bought from Bookmyshow and Giftyr have been locked in Amazon account.  C care doesn't have any info in this,Account / Contact Support
@AmazonHelp Same card. Most orders are paid with gift vouchers. You say it’s because I’m buying others say it’s because I sell. No one can give me a straight answer. I currently have 4 £1 trans in my account.,Account / Contact Support
@AmazonHelp Over 24 hours on - still no customer svcs contact or access to account. Password reset codes still not coming through to registered email.,Account / Contact Support
"@AmazonHelp Full story, cancelled Amazon Prime as don't use it. Received an email asking to confirm suspicious activity on account. Clicked link and it's asked for my bank details and address..is this correct practice?",Account / Contact Support
@AmazonHelp Account email __email__,Account / Contact Support
@AmazonHelp (The email doesn't say that it was delayed in any way just an underhanded change of delivery date),Account / Contact Support
@537379 @115993 @AmazonHelp could you confirm if this is a official email or not please?,Account / Contact Support
@AmazonHelp Can you contact me with DM so that I can give you the order details,Account / Contact Support
"@AmazonHelp Yes.Mr Gaurav help  me in the process,but I am unable to log in my Amazon account to post the pics so used this medium..",Account / Contact Support
@AmazonHelp Still price was previous one in the website.  I want the difference amount of 68 to be returned in my account,Account / Contact Support
@AmazonHelp New explanation from #HermesUK Yesterday there was no one at home and today  they claim a non-specific security issue with a neighbor 😂😂😂,Account / Contact Support
@AmazonHelp Cheating by one of the Amazon India sellers 20days for INR 3000/-. Contacted Amazon India million times. No one helped.,Account / Contact Support
"@AmazonHelp SIR DO SOMETHING CONCRETE,I AM GETTING MAIL EVERYTIME  FROM NEW PERSON,AND THEY ARE ASKING ME TO CONTACT 3RD PARTY WHICH I HAVE DONE 3-4 TIM",Account / Contact Support
@AmazonHelp I spoke to your support staff. They said your order would not be replaced. Your amount will be refunded  to your amazon account.,Account / Contact Support
@AmazonHelp I have not got any mail regarding this. So can u please contact me at my phn no.which I provided to u,Account / Contact Support
@AmazonHelp I'll Email. Thank you for your efforts. Have a nice day!,Account / Contact Support
"@AmazonHelp I have checked my tracking already and yesterday, also emailed customer service and had no reply. The tracking only shows the Sunday 19th tracking, nothing else.",Account / Contact Support
@AmazonHelp I did contacted them but its more than 7days but it is getting delayed with excuses,Account / Contact Support
@AmazonHelp how do I contact you regarding a parcel that apparently has been delivered but it hasn't?,Account / Contact Support
"@AmazonHelp Email sent.
Thanks 👍🏻",Account / Contact Support
"@AmazonHelp @9131 i've also gone ahead and contacted the show licenser: @10066 about this  issue, in an attempt to get this fixed, ASAP",Account / Contact Support
"@AmazonHelp package was supposed to arrive last night. Now says don't contact until Saturday, but tracking info hasn't updated in 2 days. Anything you can do or help with? Even an eta?",Account / Contact Support
"@AmazonHelp Not yet, have tried to contact the seller several times and no response. Not got access to a laptop to further the complaint at the moment",Account / Contact Support
"@AmazonHelp team I am fed up dealing an issue with our support team on emails, handling of my case was just ridiculous",Account / Contact Support
@AmazonHelp Different carrier. Yes i did a chat. Was told to contact the carrier,Account / Contact Support
"@AmazonHelp Hi, Thanks for getting back to us so quickly, but that portal is no good to us. We deal with you through @28288 and don't have an individual account. It's quite simple - the replacement cover for 978 1 902719 641 has been uploaded but is still not on display, 48 hours later.",Account / Contact Support
@AmazonHelp Hi I ordered a book in august as a preorder but it was delivered whilst I was away according to my account. I seem to have no way of letting you know it wasn't! What can you do?,Account / Contact Support
"@AmazonHelp Registered mail - __email__; ORDER #P04-2061228-6778876

It’s Amazon India",Account / Contact Support
@AmazonHelp No one contacted me for further steps. Is this the way you keep your customers in dark. Just by replying to my tweet will not solve my problem. #ecommerce #cheating #CustomerService #customer #Amazon #AmazonIndia,Account / Contact Support
@AmazonHelp And when I contacted your customer service they said they don't have courier service contact details they can only refund money,Account / Contact Support
"@AmazonHelp I'm still waiting on someone in management to contact me, like I was told would happen. Told it would be wI thin the hour.... 2 and half hours ago!",Account / Contact Support
@AmazonHelp Here is what I see. I have also received an email saying that it is out of stock and if I want to cancel the order https://t.co/kjyD9OdoPg,Account / Contact Support
@AmazonHelp My email id was not registered advise any other way,Account / Contact Support
"@AmazonHelp We have already revert back.
Actually right owner ask us invoice of their brand,which we have submitted but till now account is not active.",Account / Contact Support
@AmazonHelp Finally I tried sending an email and its been 30 min and no confirmation that it was sent. I'm really frustrated here.,Account / Contact Support
"@AmazonHelp Thank you so much for your acknowledgement, I contacted Amazon via email &amp; they're looking into it.",Account / Contact Support
@AmazonHelp Done I hope I would get my last order from @115850 today. And I can delete the account from @115850 forever #AmazonIndia #pathetic,Account / Contact Support
"@AmazonHelp @249442 Unfortunately my account is now handled by Amazon business who doesnt work on Saturday and Sunday, yet another reason to conveniently push the matter ahead and then say sorry and deliver it the next day and guess what? The next is when it is was gonna get delivered anyway.",Account / Contact Support
@AmazonHelp reporting a bug I am getting with my deebot and Alexa skills. Cannot link account https://t.co/f0IDInx71J,Account / Contact Support
@AmazonHelp No emails. I have been tracking on the website. One of the packages already got to me. Last update on the delayed one was at 2:29am on 10/18,Account / Contact Support
"@AmazonHelp . Bonjour, jai un probleme de prélèvements mensuels injustifiés que j'essaie de resoudre en vain (je suis ballade par Amazon). Je viens de recevoir un message du service client d'Amazon qui me demande de contacter ""directement"" Amazon ... quelqu'un peut il m'aider ?",Account / Contact Support
"@AmazonHelp Are you guys not reading what Im writing? I cannot accest the account. It was locked, so why on earth are you debitting me a 100 bucks for a prime membership for an account you won’t let me access! https://t.co/hkd3YVWKWE",Account / Contact Support
"@AmazonHelp I have contacted them, they are plainly asking to wait for it, regretting ordering in the first place now...sorry that I trusted amazon",Account / Contact Support
"@AmazonHelp Na verdade acho que agora deu certo, recebi a msg que foi creditado no meu cartão mas ainda não recebi o e-mail de confirmação da compra",Account / Contact Support
8 days since I placed an order &amp; it’s still not went out. All items were listed as in stock. I’m about to cancel the order &amp; cancel my @AmazonHelp account &amp; start shopping elsewhere. This is absolutely ridiculous &amp; I know it’s being done on purpose because I’m not a Prime member!,Account / Contact Support
@AmazonHelp Have tried to get your contact centre tonrevert..  But call gets disconnected by stating the order is not found,Account / Contact Support
@115850 @AmazonHelp hy contact m on my rmn 8825014717..now.fast,Account / Contact Support
"@AmazonHelp ""The Amazon account currently linked to this Twitch account has already claimed this offer with a different Twitch account. Please see the FAQ for more information.""",Account / Contact Support
@AmazonHelp That link is for the same old contact page I've always used. I'm not going through all that again. Are you sure you're really trying to help?,Account / Contact Support
@AmazonHelp Yes I have its in my account settings,Account / Contact Support
"@AmazonHelp hi, I was browsing on my phone and it was playing up then I got an email about a purchase that I didn’t want, can I return? https://t.co/0CwzPC1vMp",Account / Contact Support
"@AmazonHelp 1st. There is no mail received from you.
2nd how many mails you will send and when will you contact?
It seems like automated response now.",Account / Contact Support
"@AmazonHelp Ok, ya hemos contactado",Account / Contact Support
"@AmazonHelp picked up an order from amazon locker this morning, box was already open and one item missing..who do i contact to receive my item, it is urgent!",Account / Contact Support
@AmazonHelp Got an email back yesterday from your team. Delivery was said to be today. it does not seem to have even left the carried depot yet. What's going on? Tracking ID Q31153756603,Account / Contact Support
@AmazonHelp Hi! Have ordered with nominated delivery tomorrow but just had an email saying you're delivering today - I'm not there - how do I make sure you deliver tomorrow?,Account / Contact Support
"@AmazonHelp Yes I'm aware, however the confirmation email said it would arrive by this evening and it hasn't. More concerning, tracking *says* it had been delivered. This happened 2 weeks ago as well. Issue with the final leg perhaps?",Account / Contact Support
"@AmazonHelp Thanks AZ! It's been going on through probably 30 emails and DMs, so we'll see how it plays out this week.",Account / Contact Support
@AmazonHelp I received two codes and an email notifying me of an account change - my pw has been changed,Account / Contact Support
@AmazonHelp It was an Amazon carrier. Thanks for reaching out. Contacted someone through chat and they said they were sending another one.,Account / Contact Support
@AmazonHelp They have sent several emails my way lying and asking for me to change my review when they have me a refund. 2/2,Account / Contact Support
"@AmazonHelp @115821 Your answer doesn't satisfy my query.
Tell me other way to transfer my amount from amazon pay balance to my bank account and its urgent.Because i m ordering my things are of amount 2297  and when my move to payment mode it added unnecessary amount which is not acceptable.",Account / Contact Support
"@AmazonHelp I have been contacting u ppl, bt thr always hav been generic reply either it be my order 4 smartphn or ds RO. U ppl r looters",Account / Contact Support
"@AmazonHelp There’s no mention of a 5505 error on that page, and my login info is the same I use to watch Prime video on my laptop and iPad. Can you be more specific?",Account / Contact Support
@AmazonHelp Is there a problem with signing in to Amazon right now? I'm trying to check my gift card balance but it keeps rejecting my  password.,Account / Contact Support
@AmazonHelp I can't log into my Amazon card account! I tried to reset my password and says my name isn't found!,Account / Contact Support
"@AmazonHelp Hi gang, quick question. I want to buy a book in the Dutch Kindle store written in Dutch. I normally buy English books from the .com site in English. Will I still be able to buy English books from the US store if I switch my account to the .nl site?",Account / Contact Support
@AmazonHelp No one has contacted me about this. It has been 12 hours. Do you ever match terms of services you promise?,Account / Contact Support
@AmazonHelp Thats where exactly i tried to CONTACT you and it was not helpful.And why do your helpline numbers even exist? https://t.co/c3vi0WeLMI,Account / Contact Support
"@AmazonHelp I reset the password to my account but it just says the password is incorrect please help
email- __email__",Account / Contact Support
@AmazonHelp why is so easy for you to take unauthorised payments from my bank account? Cos 14 weeks later and I'm still waiting for it bk...,Account / Contact Support
@AmazonHelp I have already and it has not been helpful. I have already spent 1+ hour on the phone on this issue and have essentially been told to call back tomorrow. I would like someone with authority to get in contact with me directly.,Account / Contact Support
@AmazonHelp I've emailed twice since 10pm so hopefully I can figure out why I've been charged since March and hopefully be reimbursed,Account / Contact Support
@AmazonHelp No team has been contacting me I have been calling approx one month,Account / Contact Support
@AmazonHelp I can’t see an email anywhere. I have app notifications turned on aswell. I now can’t get it until later this afternoon where I won’t be in,Account / Contact Support
@AmazonHelp My contact Num is 9810666443!! Correct your follies!! DONT ASK ME TO FILL OUT FORMS FOR YOUR POOR OPERATIONS! #amazon #india #news #stupid,Account / Contact Support
"@AmazonHelp Thanks. Just received an email for a separate order that says ""Your package has been posted through your letterbox."", suggesting couriers have a way to give more information if they chose.",Account / Contact Support
@AmazonHelp pl. Inform mail.id to initiate notice to Amazon for debiting twice in my card account towards prime membership on 29.08 &amp; 29.09,Account / Contact Support
"Hey @AmazonHelp, I can't mark that I'm purchasing an item on a friend's wish list elsewhere because after the login page, I get a ""too many redirects"" error. Happens on multiple browsers, devices, wish lists.",Account / Contact Support
"@AmazonHelp I logged out of my Amazon account and logged in back. Since I returned to India today from Singapore, it might have affected my Amazon account and thereby the prime content",Account / Contact Support
"@AmazonHelp And you definitely have received multiple email from me, any response?",Account / Contact Support
@AmazonHelp No just refund has been sent. I have emailed. But out of a order of 6 items. 1 has been delivered so the address shouldnt be a problem,Account / Contact Support
@AmazonHelp What more do you want to know? It's all in this thread. Dozens of reviews for a baby product showed up on my books page. I asked for help using the kdp form. Received a reply stating I don't have an Amazon seller account under my email address.,Account / Contact Support
"@AmazonHelp Time to make your delivery executive famous! Absolutely arrogant, rescheduled the delivery without contacting me, cancelled the order when specifically asked to deliver it the next day. Maybe you should do something about this. I want my product delivered today! 😑😤 https://t.co/CBra5CDh63",Account / Contact Support
"@AmazonHelp Oh my word, can you not treat people as humans?!?! I’ve had the 6th identical automated email following a telephone conversation and still no-one has answered a single question?! It beggars belief? Just don’t know where to turn now. Utterly disgusted now 😡",Account / Contact Support
"@AmazonHelp Yes, I did it’s now anywhere from tomorrow to Wednesday when I pay for two day shipping. Your logistics contact confirmed that YOU (@115821) lost the package and the notifications that are sent out are FALSE.",Account / Contact Support
"@AmazonHelp thanks DJ, that did allow me to play music now using spotify as if it was a bluetooth speaker but I was really hoping to link it for voice control, etc. Could it be that my wife is the echo account owner? I feel like that shouldn't have an effect tho...",Account / Contact Support
@AmazonHelp How can I reach you there when I don't have an account,Account / Contact Support
"@AmazonHelp No,after I changed the password I didn’t find any email from amazon account specialist.",Account / Contact Support
"@AmazonHelp yes missed the confirmation email delivery date. and the confirmation email delivery date was a day later than displayed on screen. This happens again and again! Amazon really need to tighten up on prime delivery prime is rapidly becoming ""Regular"" https://t.co/WY2bdXOrPy",Account / Contact Support
@AmazonHelp my account has been locked please unlock my account,Account / Contact Support
"Does @115821 not send a ""renewal"" notice out to customers? Just noticed we were charged for our Prime account without warning. #Curious @AmazonHelp",Account / Contact Support
@AmazonHelp Just emailed you. 😊,Account / Contact Support
@AmazonHelp Really pathetic support from Amazon. No point taking prime account. Have to wait for 5 days for (cont) https://t.co/oYKezy3xOx,Account / Contact Support
"@AmazonHelp On Amazon it show as arriving today, but shipping status is delivery attempted. DPD does really have a status, but the email say tomorrow.",Account / Contact Support
@AmazonHelp I confirmed my order for Thursday delivery on payment but the email I received was for Friday delivery. I would have not placed it if that was the case. And nothing can be done.,Account / Contact Support
Friday! good news: people I know landing new roles! Making the @AmazonHelp lady laugh when she reads back “my remote hates me” email query 😉,Account / Contact Support
"@AmazonHelp Awesome, thank you! How soon are the Amazon credits put on your account after receiving the packages?",Account / Contact Support
@AmazonHelp Have contacted many times. Thoroughly displeased with response.,Account / Contact Support
"@AmazonHelp No me contestaron los mails y en el chat dijeron que me iban a contactar y no lo han hecho, mira el status https://t.co/JRjxXQvGRp",Account / Contact Support
"@AmazonHelp Wow, thanks for such a speedy response! I did contact them, and they said they could not confirm a change to the delivery time that they themselves rescheduled. Frustrating. Appreciate any help you could provide!",Account / Contact Support
@AmazonHelp Still looking - no new emails from Amazon,Account / Contact Support
@AmazonHelp Yes but I had to email as I can phone so it'll be to late,Account / Contact Support
@AmazonHelp if the comicxology account says there is no membership how come it’s trying to charge my account? It was turned off so I’m not sure why it’s still trying to take a subscription payment out,Account / Contact Support
"@AmazonHelp Despite having someone in all day AND a 'safe place', the email comes this evening saying couldn't deliver. This has happened several times with AL now but *never* with other carriers like DPD or Royal Mail.",Account / Contact Support
"@115821 or @AmazonHelp, worst part? Delivery is not being retried apparently. Last status: ""Package arrived at a carrier facility"". What's maddening is that there's no easy way to contact anyone to sort this out. Using Two Day in future so @115817 can deliver it properly. 2/2",Account / Contact Support
@AmazonHelp got this email today.  Looks like a scam.  Could you confirm https://t.co/WGKmcAEYXp,Account / Contact Support
@AmazonHelp I’m unable to login to my account could I get some help unlocking it?,Account / Contact Support
@AmazonHelp USPS. No insight at all on the delay (that’s why I contacted customer service). It has been at the same location since yesterday morning.,Account / Contact Support
"@AmazonHelp Amazon Logistics, C10037807523. Il m’a contacté dans la semaine mais je n’étais pas sur place et n’a pas laissé d’avis de passage :/",Account / Contact Support
@AmazonHelp my email is __email__,Account / Contact Support
"@AmazonHelp Have already shared my registered mobile no. 9673101122, but I m currently contactable on 9818601122",Account / Contact Support
@AmazonHelp I have contacted Amazon Prime. Nice words but made no progress. Promises made by Hermes but to no avail!,Account / Contact Support
"@AmazonHelp How is that helpful? It’s gone to a locker, it says it’s delivered. I literally just need the collection code email!",Account / Contact Support
"@AmazonHelp my order says suppose to be delivered yesterday, but another email today, I still don’t have my delivery????",Account / Contact Support
@AmazonHelp Just been emailed and its out for delivery again today. Will let you know wheather it comes or not. Thank you,Account / Contact Support
@AmazonHelp It states on my account it was delivered thru letterbx so how does those suggestions help me?,Account / Contact Support
@AmazonHelp I have received an email but there is a problem with it. Is it possible to dm someone?,Account / Contact Support
@AmazonHelp Hi I hv tried to reset my password to access on that form but it's not working,Account / Contact Support
@AmazonHelp Please contact me on +91 9167575165,Account / Contact Support
"@AmazonHelp Couldnt find the chat option, ive received an email back now.",Account / Contact Support
@AmazonHelp Not able to reply to the email using this link and I also don't see this in my mailbox.,Account / Contact Support
@AmazonHelp Thanks for your early response. I contacted the Customer Service and they've assured to hlp me.,Account / Contact Support
"@AmazonHelp Better takecare of this. Thanks for the information though. Share such information on your account, let the people be aware. #amazonin",Account / Contact Support
@AmazonHelp @115830 can you please tell me why money has been taken from my account when I haven’t ordered anything?? 😤🤔,Account / Contact Support
@AmazonHelp It's a digital code (Which I think will be emailed to me rather than posted??). Game releases tomorrow 27th Oct. Will I get a physical code? https://t.co/ZIB9k1vdtF,Account / Contact Support
@AmazonHelp The email honors NONE of these points. I have explained this now 4 times. It’s exhausting!!! Just give me what you promised!!!,Account / Contact Support
@AmazonHelp I submitted this form 3 times. Still no email to reset. https://t.co/gcSXJVQZIo,Account / Contact Support
"@AmazonHelp someone's using my email and I can't access the account anymore, I cant send emails to the customer service email too.",Account / Contact Support
@AmazonHelp I already contacted many times through emails and the above provided link but no luck. They are just give formal replies nothing else.,Account / Contact Support
"@AmazonHelp Thanks for responding, the problem is i am unable to see the order i have placed and can not see any reference of it on my account so can not seek help for the same on the standard response method",Account / Contact Support
@AmazonHelp my account has been locked pending verification of my CC. I have sent the required fax 3 times. what more do you want? @115821,Account / Contact Support
@AmazonHelp @115850 mentioned in the mail like I'll get back my money today(NOV 7) to my account but again U guys proved very worst service @115850,Account / Contact Support
@AmazonHelp I did email 2-3 times but still no replies.,Account / Contact Support
"@AmazonHelp I don’t have the email to log into the account with the prime membership, and have no knowledge to what it is. Can I just have the complaints email please.",Account / Contact Support
"@AmazonHelp Three emails to Customer Service: 1 reply, that offered refund of the difference in postage.  Your courier has the items: cancel and refund.",Account / Contact Support
"@AmazonHelp No , they want me to response by replaying to the e-mail they sent to me , can i forward the e-mail to you ? so you can see it",Account / Contact Support
"@AmazonHelp what I will do with email, provide me the number of courier boy who is going or suppose to deliver my product.",Account / Contact Support
"@AmazonHelp Sure, I have attached a screenshot below, every time it shows same, even I tried to reset password, but once I reset it, the error is same. https://t.co/Vppez8oFqs",Account / Contact Support
"@AmazonHelp These are my details of order-order #407-0701499-7452341,date of placement of order 10 Nov, contacted Amazon assistance on 3 occasions,once you check you will get https://t.co/MJei7NGKF9 story is in my tweet",Account / Contact Support
@AmazonHelp Today. I sent an email right now. I’ll wait and let you all know if I’ve gotten anything,Account / Contact Support
@AmazonHelp Email has been sent. How long do I have to wait for a response?,Account / Contact Support
"@AmazonHelp No, I received a response telling me about spam emails, only they aren't spam emails I am receiving, i responded again asking that the account was closed &amp; haven't heard anything since.",Account / Contact Support
@AmazonHelp e-mail verschickt,Account / Contact Support
"@AmazonHelp Ur email datd 22nd Oct17 mentions dat Refund for Amazon.in order 407-3009023-2101957 for Amount Rs34,500 is successful bank but hv not recvd",Account / Contact Support
@AmazonHelp is this one of your email address? https://t.co/8XUzF3WhjS &lt;__email__&gt;,Account / Contact Support
"@AmazonHelp Bonjour 👋
Alors ça dépend de quel SAV ? Par E-mail ? Sur le site internet ?",Account / Contact Support
@AmazonHelp already contacted thrice..but false assurance nothing else,Account / Contact Support
@AmazonHelp Hi. An order I made is showing up as delivered today. It was not. My account says it was handed to resident. I am in the UK.,Account / Contact Support
"@AmazonHelp Please liaise with your email support team &amp; see all responses, u will know my frustration and treatment to loyal customer like me. @115850 @115821 @115851",Account / Contact Support
@AmazonHelp I’ve not been able to login to my account and the ‘forgot password’ email request doesn’t work. Any advice?,Account / Contact Support
"@AmazonHelp hey, I know I contacted you guys about this the other day but it happened /again/... https://t.co/CvagYXZXph",Account / Contact Support
@AmazonHelp Yes but for some reason every time I send my statement info they read it but do not unblock my account please help!,Account / Contact Support
"@AmazonHelp Yes I have informed you through the link and also via email
__email__
+919891862790",Account / Contact Support
@AmazonHelp I can't understand  you  that  link  only open my  amzone account  but not  solve  my problem.  7869057270 that  is my  contact no call me,Account / Contact Support
@AmazonHelp i contacted them 5 times but no action,Account / Contact Support
@AmazonHelp I've been on hold for a manager for 20 min. I received an email while on hold from someone named Van who said there is nothing they can do.,Account / Contact Support
@AmazonHelp I need your help I have sent couple of emails but did not get my cashback,Account / Contact Support
"@AmazonHelp @119038 Hi, I have a Spanish Amazon Prime account. After linking it with my Twitch one, will I get charged anything? Cheers.",Account / Contact Support
"Just got an email asking me for feedback on the stuff I ordered from @116090 last week.  They really didn't have an option for ""I don't know because Amazon f***ed up my 'guaranteed 2-day delivery' and I'm still waiting for it five days later"".  cc: @AmazonHelp  #NotImpressed",Account / Contact Support
"@115821 @AmazonHelp 

I forgot my password to get into my Kindle account. Now,  you want me to contact Customer Service. 

But when I try,  you tell me to log in again.  How can I log in if you've locked me out????? 

This is stupid.",Account / Contact Support
@115850 @AmazonHelp Paying extra for getting ONE DAY DELIVERY why I am not getting my order delivered today? E-mail: __email__,Account / Contact Support
@AmazonHelp @115851 Please let me know what are you guys up to with this order. Again got email now to wait for another 24hrs. https://t.co/LWNJPoWVzA,Account / Contact Support
@AmazonHelp His prime membership. Is there any way you can chase this up? Charged 3 times but due to account being locked he is unable to cancel. Thanks,Account / Contact Support
@AmazonHelp estou tentando pagar com cartão de débito e ai a página de login carrega mas logo depois muda para a página inicial do banco (bb) e aí não consigo efetuar o pagamento,Account / Contact Support
"@115850 @AmazonHelp I hv ordered pen with blue ink (description also says that), but getting black ink inspire of e-mail and phone requests &amp; three times replacement/new order. This just shows your team seriousness towards customer requests. Sad to see your standards dropping.",Account / Contact Support
@AmazonHelp Actually I haven't received any email.,Account / Contact Support
